net,length_um
PADDR[10],8.96µm
PADDR[9],8.96µm
net132,8.9µm
net168,8.78µm
net47,8.76µm
net202,8.68µm
net171,8.66µm
net201,8.6µm
HRDATA[14],8.5µm
HRDATA[1],8.5µm
HRDATA[23],8.5µm
PWDATA[29],8.5µm
net22,8.44µm
PWDATA[0],8.41µm
net218,8.36µm
net27,8.3µm
net40,8.3µm
net4,8.28µm
PADDR[7],8.27µm
PWDATA[3],8.27µm
HADDR[12],8.23µm
_061_,8.16µm
_051_,8.14µm
net206,8.02µm
net211,8.02µm
net83,7.94µm
HWDATA[31],7.91µm
net29,7.82µm
net167,7.82µm
PADDR[24],7.79µm
PADDR[8],7.79µm
net205,7.68µm
net229,7.68µm
net233,7.68µm
net241,7.68µm
net116,7.64µm
HRDATA[17],7.61µm
HRDATA[12],7.59µm
PADDR[27],7.59µm
PWDATA[14],7.58µm
HWDATA[21],7.57µm
net81,7.56µm
net17,7.52µm
net67,7.52µm
HADDR[31],7.47µm
_022_,7.385µm
net148,7.22µm
HWDATA[15],7.21µm
PRDATA[4],7.21µm
_009_,7.18µm
PWDATA[27],7.11µm
net106,7.1µm
net114,7.06µm
net89,6.98µm
net20,6.92µm
PADDR[15],6.91µm
PRDATA[12],6.87µm
HADDR[6],6.79µm
PADDR[17],6.77µm
net226,6.74µm
net224,6.72µm
net149,6.64µm
net78,6.6µm
PWDATA[13],6.57µm
HWDATA[8],6.53µm
PRDATA[22],6.53µm
net165,6.52µm
net43,6.5µm
net68,6.5µm
PADDR[13],6.45µm
PADDR[16],6.45µm
PADDR[1],6.45µm
HRDATA[21],6.43µm
PADDR[21],6.43µm
PWDATA[28],6.43µm
net143,6.36µm
_035_,6.3µm
net198,6.26µm
net203,6.26µm
net217,6.26µm
net239,6.26µm
net248,6.26µm
PADDR[12],6.11µm
net200,6.04µm
net242,6.04µm
_001_,5.96µm
_016_,5.96µm
_032_,5.96µm
_045_,5.96µm
_057_,5.96µm
net207,5.92µm
net230,5.92µm
HRESETn,5.85µm
PSEL[0],5.77µm
PADDR[31],5.75µm
PWDATA[21],5.75µm
PWDATA[6],5.75µm
net71,5.72µm
HADDR[17],5.63µm
net210,5.58µm
net216,5.58µm
net244,5.58µm
net249,5.58µm
net251,5.58µm
HREADY,5.51µm
HWDATA[5],5.51µm
PADDR[26],5.41µm
HADDR[0],5.29µm
net101,5.26µm
HADDR[11],5.17µm
HTRANS[1],5.17µm
HWDATA[0],5.17µm
HWDATA[11],5.17µm
PREADY,5.17µm
net99,5.14µm
net231,5.14µm
HRDATA[11],5.07µm
HRDATA[13],5.07µm
HRDATA[27],5.07µm
HRDATA[28],5.07µm
HRDATA[7],5.07µm
PADDR[28],5.07µm
net215,5.06µm
net228,5.06µm
_005_,5.04µm
HADDR[28],4.95µm
HADDR[7],4.95µm
net51,4.94µm
net73,4.88µm
net227,4.88µm
HADDR[22],4.83µm
net87,4.8µm
net95,4.8µm
net2,4.76µm
net46,4.76µm
net44,4.66µm
HADDR[15],4.61µm
_066_,4.6µm
net232,4.6µm
_023_,4.54µm
HADDR[16],4.49µm
HADDR[30],4.49µm
HADDR[4],4.49µm
HWDATA[10],4.49µm
PSLVERR,4.49µm
_052_,4.46µm
net69,4.42µm
PWRITE,4.39µm
net84,4.36µm
net54,4.34µm
net96,4.34µm
net122,4.34µm
PADDR[18],4.27µm
net31,4.2µm
HADDR[18],4.15µm
HADDR[25],4.15µm
HADDR[3],4.15µm
HWDATA[13],4.15µm
HWDATA[3],4.15µm
HWRITE,4.15µm
net219,4.12µm
PWDATA[8],3.93µm
_011_,3.88µm
net8,3.88µm
net15,3.88µm
net18,3.88µm
net93,3.88µm
net141,3.88µm
HADDR[19],3.81µm
HADDR[2],3.81µm
HWDATA[25],3.81µm
net10,3.78µm
_025_,3.76µm
net56,3.74µm
net195,3.74µm
_049_,3.66µm
_046_,3.64µm
net6,3.56µm
_002_,3.54µm
_014_,3.54µm
_018_,3.54µm
_034_,3.54µm
_037_,3.54µm
_041_,3.54µm
_047_,3.54µm
_064_,3.54µm
net254,3.54µm
HWDATA[2],3.47µm
HWDATA[9],3.47µm
net139,3.44µm
net57,3.42µm
net76,3.42µm
net157,3.42µm
net50,3.32µm
_010_,3.3µm
net16,3.22µm
net234,3.22µm
_020_,3.2µm
_030_,3.2µm
_040_,3.2µm
_058_,3.2µm
net156,3.18µm
net23,3.1µm
net66,3.1µm
net208,3.08µm
net102,2.96µm
net61,2.86µm
_055_,2.84µm
net24,2.76µm
net193,2.76µm
net194,2.76µm
net196,2.76µm
net197,2.76µm
net209,2.76µm
net212,2.76µm
net213,2.76µm
net220,2.76µm
net221,2.76µm
net222,2.76µm
net223,2.76µm
net235,2.76µm
net236,2.76µm
net237,2.76µm
net240,2.76µm
net246,2.76µm
net252,2.76µm
net253,2.76µm
_003_,2.74µm
_004_,2.74µm
_013_,2.74µm
_039_,2.74µm
_043_,2.74µm
net14,2.64µm
net59,2.64µm
net88,2.62µm
net138,2.62µm
net151,2.62µm
net72,2.5µm
net82,2.5µm
net86,2.5µm
net90,2.5µm
net225,2.3µm
net247,2.3µm
_000_,2.16µm
_015_,2.16µm
_019_,2.16µm
_021_,2.16µm
_024_,2.16µm
_026_,2.16µm
_027_,2.16µm
_029_,2.16µm
_033_,2.16µm
_038_,2.16µm
_044_,2.16µm
_053_,2.16µm
_054_,2.16µm
_062_,2.16µm
net91,2.16µm
net94,2.16µm
net199,2.16µm
net25,2.04µm
net77,2.04µm
net214,1.84µm
net238,1.84µm
net245,1.84µm
_006_,1.82µm
_007_,1.82µm
_008_,1.82µm
_017_,1.82µm
_028_,1.82µm
_031_,1.82µm
_042_,1.82µm
_050_,1.82µm
_056_,1.82µm
_060_,1.82µm
_063_,1.82µm
_012_,1.7µm
_048_,1.36µm
net80,1.14µm
net204,1.02µm
net103,0.8µm
